Season,Player,First,Last,Pos,Shoots,Team,Jersey,GP,G,A,Skating Speed,Avg Skating Speed,%ile Skating Speed,22+ Bursts,Avg 22+ Bursts,%ile 22+ Bursts,20-22 Bursts,Avg 20-22 Bursts,%ile 20-22 Bursts,18-20 Bursts,Avg 18-20 Bursts,%ile 18-20 Bursts,O-Zone,Avg O-Zone,N-Zone,Avg N-Zone,D-Zone,Avg D-Zone,Shot Speed,Avg Shot Speed,%ile Shot Speed,100+ Speed,Avg 100+ Speed,%ile 100+ Speed,90-100 Speed,Avg 90-100 Speed,%ile 90-100 Speed,80-90 Speed,Avg 80-90 Speed,%ile 80-90 Speed,70-80 Speed,Avg 70-80 Speed,%ile 70-80 Speed
20212022,8478495,Denis,Gurianov,RW,L,DAL,25,73,11,20,24.6,22.03,99,40,3,99,255,66,98,529,278,85,38.60%,40.40%,18.30%,18.50%,43.10%,41.00%,94.26,85.38,68,0,0,49,5,1,77,33,11,73,60,26,67
20222023,8478010,Brayden,Point,C,R,TBL,21,82,51,44,24.26,22.05,99,44,3,99,459,67,99,967,284,99,41.90%,40.20%,18.70%,18.30%,39.30%,41.40%,87.46,85.15,49,0,0,49,0,1,49,1,12,49,37,30,49
20232024,8480015,Owen,Tippett,RW,R,PHI,74,78,28,25,24.21,22.1,99,46,3,99,228,69,97,549,293,87,41.60%,40.30%,19.00%,18.50%,39.50%,41.20%,99.97,85.09,94,0,0,49,11,1,88,84,12,95,117,30,92
20232024,8478402,Connor,McDavid,C,L,EDM,97,76,32,100,24.19,22.1,99,66,3,99,391,69,99,719,293,98,46.90%,40.30%,17.70%,18.50%,35.30%,41.20%,87.05,85.09,49,0,0,49,0,1,49,16,12,49,72,30,75
20222023,8478402,Connor,McDavid,C,L,EDM,97,82,64,89,24.16,22.05,99,81,3,99,458,67,99,824,284,99,43.60%,40.20%,18.00%,18.30%,38.40%,41.40%,88.88,85.15,49,0,0,49,0,1,49,24,12,62,91,30,86
20212022,8478402,Connor,McDavid,C,L,EDM,97,80,44,79,24.14,22.03,99,89,3,99,484,66,99,917,278,99,44.20%,40.40%,18.30%,18.50%,37.40%,41.00%,88.17,85.38,49,0,0,49,0,1,49,30,11,69,72,26,77
20232024,8477492,Nathan,MacKinnon,C,R,COL,29,82,51,89,24.05,22.1,99,118,3,99,599,69,99,768,293,99,43.60%,40.30%,18.50%,18.50%,37.90%,41.20%,88.82,85.09,49,0,0,49,0,1,49,62,12,91,160,30,98
20222023,8477492,Nathan,MacKinnon,C,R,COL,29,71,42,69,24.02,22.05,98,73,3,99,474,67,99,619,284,93,42.90%,40.20%,18.60%,18.30%,38.60%,41.40%,93.33,85.15,65,0,0,49,9,1,86,102,12,99,160,30,98
20212022,8479328,Julien,Gauthier,RW,R,NYR,16,49,3,4,23.89,22.03,98,41,3,99,139,66,85,233,278,49,42.30%,40.40%,17.90%,18.50%,39.80%,41.00%,88.23,85.38,49,0,0,49,0,1,49,6,11,49,15,26,49
20232024,8477425,Miles,Wood,LW,L,COL,28,74,9,17,23.88,22.1,98,45,3,99,234,69,97,525,293,84,39.80%,40.30%,17.90%,18.50%,42.30%,41.20%,85.78,85.09,49,0,0,49,0,1,49,18,12,50,48,30,54
20212022,8477492,Nathan,MacKinnon,C,R,COL,29,65,32,56,23.78,22.03,98,66,3,99,413,66,99,580,278,91,42.40%,40.40%,18.80%,18.50%,38.80%,41.00%,94.25,85.38,68,0,0,49,10,1,86,77,11,96,119,26,96
